PARENT_3_CATEGORY,PARENT_4_CATEGORY,PARENT_5_CATEGORY,COUNT_LISTINGS
Biology,Cell-Based Assays,Antioxidant Profile Analysis,123
Biology,Cell-Based Assays,Blood and Bone Marrow Assays,16
Biology,Cell-Based Assays,Cell Death Assays,2309
Biology,Cell-Based Assays,Cell Invasion & Migration Assays,155
Biology,Cell-Based Assays,Cell Signaling Analyses,3291
Biology,Cell-Based Assays,Cell Viability & Proliferation Assays,1577
Biology,Cell-Based Assays,Cell-Based Screening Methods,432
Biology,Cell-Based Assays,Cellular Health & Metabolism Assays,3874
Biology,Cell-Based Assays,DNA Damage & Repair Assays,200
Biology,Cell-Based Assays,Functional & Cell Type Specific Assays,6763
Biology,Cell-Based Assays,In vitro Disease Models,828
Biology,Cell-Based Assays,In vitro Ion Channel Assays,2074
Biology,Cell-Based Assays,In vitro Reporter Gene Assays,291
Biology,Cell-Based Assays,Specialized Cell-Based Assays,494
Biology,Cell-Based Assays,Transporter & Cell Uptake Assays,953
Biology,Cell-Based Assays,,12
Biology,Cells and Tissues,Biospecimens,538778
Biology,Cells and Tissues,Cell Culture Media and Reagents,9304
Biology,Cells and Tissues,Cell Lines,10166
Biology,Cells and Tissues,Cell and Tissue Culture,2971
Biology,Cells and Tissues,Cytometry,3479
Biology,Cells and Tissues,Human Cell Line,3291
Biology,Cells and Tissues,Preclinical Histology,1
Biology,Cells and Tissues,Testing of Cell Lines,898
Biology,Cells and Tissues,,1052
Biology,Electrophysiology,Automated Patch Clamp Electrophysiology,22
Biology,Electrophysiology,Cell Electrophysiology,11
Biology,Electrophysiology,Electrophysiology Consulting,5
Biology,Electrophysiology,Electrophysiology Training,10
Biology,Electrophysiology,Ex vivo Electrophysiology,8
Biology,Electrophysiology,Extracellular Recording,1
Biology,Electrophysiology,In vivo Electrophysiology,19
Biology,Electrophysiology,Microneurography,19
Biology,Electrophysiology,Optopatch Assays,101
Biology,Electrophysiology,Patch Clamp Recording,152
Biology,Electrophysiology,Wide Dynamic Range Neuron Evoked Pain Studies,1
Biology,Electrophysiology,,131
Biology,Ex Vivo Models and Assays,Airway Surface Liquid Depth Measurement,23
Biology,Ex Vivo Models and Assays,EVEIT,24
Biology,Ex Vivo Models and Assays,Ex vivo Drug Sensitivity Assays,952
Biology,Ex Vivo Models and Assays,Ex vivo Intestinal Tissue Model,9
Biology,Ex Vivo Models and Assays,Ex vivo Smooth Muscle Assays,24
Biology,Ex Vivo Models and Assays,Functional Human Tissue Assays,494
Biology,Ex Vivo Models and Assays,Isolated Perfused Heart Model,3
Biology,Ex Vivo Models and Assays,,37
Biology,Genetic Engineering,Bacterial Transformation,60
Biology,Genetic Engineering,Biological Circuit Design,7
Biology,Genetic Engineering,CRISPR Bioinformatics,6
Biology,Genetic Engineering,CRISPR Cloning,3
Biology,Genetic Engineering,CRISPR Design to Validation,1
Biology,Genetic Engineering,CRISPR Modified Cell Lines,6
Biology,Genetic Engineering,CRISPR sgRNA Libraries,3
Biology,Genetic Engineering,CRISPR-Mediated SNP Modification,6
Biology,Genetic Engineering,CRISPR/Cas9 Genome Editing,227
Biology,Genetic Engineering,CRISPR/Cas9 Knockout Cell Lines,74
Biology,Genetic Engineering,Cas9 Nuclease,309
Biology,Genetic Engineering,Cas9-Expressing Cell Lines,579
Biology,Genetic Engineering,Design & synthesize CRISPR/TAL reagents,8
Biology,Genetic Engineering,Genome Editing,2
Biology,Genetic Engineering,Genome-Wide CRISPR/Cas9 Knockout Cell Lines,6
Biology,Genetic Engineering,In vitro Genetic Screening,14
Biology,Genetic Engineering,Knockout Rat Development,5
Biology,Genetic Engineering,Mitochondrial DNA Editing,17
Biology,Genetic Engineering,Morpholino-Mediated Gene Knockdown,17
Biology,Genetic Engineering,Recombineering,10
Biology,Genetic Engineering,Synthetic Promoter Design,7
Biology,Genetic Engineering,TALEN Design and Validation,2
Biology,Genetic Engineering,TARGATT Genome Editing,1
Biology,Genetic Engineering,Transgenic Animal Model Development,1197
Biology,Genetic Engineering,Validate CRISPR/TAL efficacy,1
Biology,Genetic Engineering,ZFN-Mediated Genome Editing,13
Biology,Genetic Engineering,ZFN-Mediated Knockout in IPS And ES cells,14
Biology,Genetic Engineering,ZFN-Mediated SNP Modification in IPS and ES Cells,49
Biology,Genetic Engineering,ZFN-Mediated SNP Modification in Immortalized Cells,911
Biology,Genetic Engineering,ZFN-Mediated Targeted Integration in IPS and ES Cells,151
Biology,Genetic Engineering,ZFN-Mediated Targeted Integration in Immortalized Cells,40
Biology,Genetic Engineering,Zebrafish Transgenic Services,18
Biology,Genetic Engineering,rAAV Genome Editing,6
Biology,Genetic Engineering,shRNA-Mediated Gene Knockdown,10
Biology,Genetic Engineering,siRNA-Mediated Gene Knockdown,153
Biology,Genetic Engineering,,3
Biology,Microbiology,Antimicrobial Activity Testing,1751
Biology,Microbiology,Aquatic Microorganism Analysis,39
Biology,Microbiology,Bacterial Culture,2050
Biology,Microbiology,Live Biotherapeutic Product (LBP) Assays,75
Biology,Microbiology,Live Biotherapeutic Product (LBP) Manufacturing,30
Biology,Microbiology,Microbial Fermentation and Bioprocessing,585
Biology,Microbiology,Microbiology Assays,1644
Biology,Microbiology,Microbiome Studies,14
Biology,Microbiology,Phycology Services,119
Biology,Microbiology,Radil Advantage,12
Biology,Microbiology,Virology Services,19807
Biology,Microbiology,Yeast Services,498
Biology,Microbiology,,270
Biology,Neuroscience,Dendritic Spine Analysis,27
Biology,Neuroscience,Implantable Non-Invasive Neuromodulation Technologies,9
Biology,Neuroscience,Neurogenesis,34
Biology,Neuroscience,Neuromodulation Consulting,114
Biology,Neuroscience,Synaptic Transmission Studies,8
Biology,Neuroscience,Synaptogenesis Studies,21
Biology,Neuroscience,,7
Biology,Omics,Lipidomics,8
Biology,Omics,Metabolomics,1079
Biology,Omics,Multi-omic Studies,1
Biology,Omics,Multiomics,2
Biology,Omics,Proteomics,1498
Biology,Omics,,9
Biology,Small Molecules,,3035
Biology,Synthetic Biology,,21
Biology,Systems Biology,,1
Biology,,,32536
"Business Development, Marketing & Operations",Business Development Services,Business Intelligence and Analytics,1
"Business Development, Marketing & Operations",Business Development Services,CRM Software,5
"Business Development, Marketing & Operations",Business Development Services,Commercialization Support,13
"Business Development, Marketing & Operations",Business Development Services,Competitive Benchmarking,1
"Business Development, Marketing & Operations",Business Development Services,Consultant Identification,12
"Business Development, Marketing & Operations",Business Development Services,E-Commerce Solutions,18
"Business Development, Marketing & Operations",Business Development Services,Fair Market Value (FMV) Assessment,2
"Business Development, Marketing & Operations",Business Development Services,Feasibility Studies,1
"Business Development, Marketing & Operations",Business Development Services,Gap Analysis,2
"Business Development, Marketing & Operations",Business Development Services,Industry Reports,6
"Business Development, Marketing & Operations",Business Development Services,Intellectual Property Consulting,3
"Business Development, Marketing & Operations",Business Development Services,Market Access and Commercialization,2
"Business Development, Marketing & Operations",Business Development Services,Patent Application Support,1
"Business Development, Marketing & Operations",Business Development Services,Product Cost Analysis,53
"Business Development, Marketing & Operations",Business Development Services,Technology Landscaping,11
"Business Development, Marketing & Operations",Business Development Services,Technology Scouting,1
"Business Development, Marketing & Operations",Business Development Services,Technology Transfer and Licensing,7
"Business Development, Marketing & Operations",Business Operations and Logistics Support,Bill of Materials (BOM) Monitoring,77
"Business Development, Marketing & Operations",Business Operations and Logistics Support,Change Management Services,1
"Business Development, Marketing & Operations",Business Operations and Logistics Support,Cold Chain Logistics,100
"Business Development, Marketing & Operations",Business Operations and Logistics Support,Concierge Request,20
"Business Development, Marketing & Operations",Business Operations and Logistics Support,Contracts Consulting,1
"Business Development, Marketing & Operations",Business Operations and Logistics Support,Instruments and Software,19
"Business Development, Marketing & Operations",Business Operations and Logistics Support,Inventory Management,111
"Business Development, Marketing & Operations",Business Operations and Logistics Support,Legal and Compliance Support,21
"Business Development, Marketing & Operations",Business Operations and Logistics Support,Litigation Support,1
"Business Development, Marketing & Operations",Business Operations and Logistics Support,Loading and Discharge Handling,3
"Business Development, Marketing & Operations",Business Operations and Logistics Support,Mailroom Services,3
"Business Development, Marketing & Operations",Business Operations and Logistics Support,Pharmaceutical Shipping,47660
"Business Development, Marketing & Operations",Business Operations and Logistics Support,Procurement,1
"Business Development, Marketing & Operations",Business Operations and Logistics Support,Sampling Inspection,34
"Business Development, Marketing & Operations",Business Operations and Logistics Support,Six Sigma Consulting,5
"Business Development, Marketing & Operations",Business Operations and Logistics Support,Standardization Tools,25
"Business Development, Marketing & Operations",Business Operations and Logistics Support,Supply Chain Management and Logistics,2
"Business Development, Marketing & Operations",Business Operations and Logistics Support,Third Party Logistics (3PL),356
"Business Development, Marketing & Operations",Business Operations and Logistics Support,Transportation Services,14
"Business Development, Marketing & Operations",Business Operations and Logistics Support,Warehousing Services,3
"Business Development, Marketing & Operations",Business Operations and Logistics Support,Weighing and Inspection Solutions,710
"Business Development, Marketing & Operations",Business Operations and Logistics Support,,2
"Business Development, Marketing & Operations",Communication and Audiovisual Technologies,IP Solutions,3
"Business Development, Marketing & Operations",Communication and Audiovisual Technologies,Unified Communications Solutions,1
"Business Development, Marketing & Operations",Communication and Audiovisual Technologies,Video Over IP Systems,2
"Business Development, Marketing & Operations",Consumer Insights,,66
"Business Development, Marketing & Operations","Marketing, Communication & Graphic Design Services",Communications Services,8
"Business Development, Marketing & Operations","Marketing, Communication & Graphic Design Services",Content Curation Platform,1
"Business Development, Marketing & Operations","Marketing, Communication & Graphic Design Services",Editorial and Writing Services,185
"Business Development, Marketing & Operations","Marketing, Communication & Graphic Design Services","Illustration, Video, and Graphic Design Services",517
"Business Development, Marketing & Operations","Marketing, Communication & Graphic Design Services",Marketing Services,86
"Business Development, Marketing & Operations","Marketing, Communication & Graphic Design Services",Mobile Ethnography,1
"Business Development, Marketing & Operations","Marketing, Communication & Graphic Design Services",,2
"Business Development, Marketing & Operations",Payroll Services,,1
"Business Development, Marketing & Operations",,,12
Chemistry and Materials,62541- Custom Chemistry Panel,,87
Chemistry and Materials,Analytical Chemistry Services,Absolute Configuration Determination,9
Chemistry and Materials,Analytical Chemistry Services,Acid Digestion,53
Chemistry and Materials,Analytical Chemistry Services,Analytical Method Development,1
Chemistry and Materials,Analytical Chemistry Services,Automated Liquid Handling,218
Chemistry and Materials,Analytical Chemistry Services,Biotoxin Analysis,81
Chemistry and Materials,Analytical Chemistry Services,Carbon Isotope Discrimination,22
Chemistry and Materials,Analytical Chemistry Services,Chemical Analysis,105
Chemistry and Materials,Analytical Chemistry Services,Chemical Contaminant Analysis,185
Chemistry and Materials,Analytical Chemistry Services,Chemical Reference Standards,1404
Chemistry and Materials,Analytical Chemistry Services,Chemical Stability Testing,69
Chemistry and Materials,Analytical Chemistry Services,Chemometric Studies,19
Chemistry and Materials,Analytical Chemistry Services,Combustion Analysis,61
Chemistry and Materials,Analytical Chemistry Services,Complex Mixture Analysis,22
Chemistry and Materials,Analytical Chemistry Services,Compound Identification and Characterization,1550
Chemistry and Materials,Analytical Chemistry Services,Compound Recertification,2
Chemistry and Materials,Analytical Chemistry Services,Differential Scanning Calorimetry,8
Chemistry and Materials,Analytical Chemistry Services,Differential Scanning Fluorimetry (DSF),125
Chemistry and Materials,Analytical Chemistry Services,Discrete Chemical Analysis,139
Chemistry and Materials,Analytical Chemistry Services,Electron Probe Microanalysis,13
Chemistry and Materials,Analytical Chemistry Services,Elemental Analysis,77
Chemistry and Materials,Analytical Chemistry Services,Fatty Acid Analysis,482
Chemistry and Materials,Analytical Chemistry Services,Fiber Identification,206
Chemistry and Materials,Analytical Chemistry Services,Flow Injection Analysis,96
Chemistry and Materials,Analytical Chemistry Services,Forensics,51
Chemistry and Materials,Analytical Chemistry Services,Free Amino Acid Analysis,22
Chemistry and Materials,Analytical Chemistry Services,Gas Testing,68
Chemistry and Materials,Analytical Chemistry Services,Gun Shot Residue Analysis,32
Chemistry and Materials,Analytical Chemistry Services,Hair Identification,173
Chemistry and Materials,Analytical Chemistry Services,Halogen Testing,34
Chemistry and Materials,Analytical Chemistry Services,Heterogeneous Catalyst Characterization,40
Chemistry and Materials,Analytical Chemistry Services,Impurity Analysis,2
Chemistry and Materials,Analytical Chemistry Services,Infrared Chemical Imaging,12
Chemistry and Materials,Analytical Chemistry Services,Inorganic Nutrient Analysis,377
Chemistry and Materials,Analytical Chemistry Services,Instrumental Gas Analysis (IGA),7
Chemistry and Materials,Analytical Chemistry Services,Irradiation Services,183
Chemistry and Materials,Analytical Chemistry Services,Isoprenoid Biosynthetic Intermediate Analysis,81
Chemistry and Materials,Analytical Chemistry Services,Karl Fischer Titration,14
Chemistry and Materials,Analytical Chemistry Services,LogP/LogD Determination,5
Chemistry and Materials,Analytical Chemistry Services,Material Testing Services,4857
Chemistry and Materials,Analytical Chemistry Services,Melting Point Determination,5472
Chemistry and Materials,Analytical Chemistry Services,Microwave Sample Digestion,24
Chemistry and Materials,Analytical Chemistry Services,Moisture Analysis,21
Chemistry and Materials,Analytical Chemistry Services,Molecular Weight Determination,2770
Chemistry and Materials,Analytical Chemistry Services,NanoDSF,69
Chemistry and Materials,Analytical Chemistry Services,ORAC Assay,44
Chemistry and Materials,Analytical Chemistry Services,Optical Rotation,6
Chemistry and Materials,Analytical Chemistry Services,Physicochemical Testing,60
Chemistry and Materials,Analytical Chemistry Services,Polymer Additive Analysis,41
Chemistry and Materials,Analytical Chemistry Services,Powder Characterization,1048
Chemistry and Materials,Analytical Chemistry Services,Quantification of Amorphous Content,5
Chemistry and Materials,Analytical Chemistry Services,Radiation Measurement,13
Chemistry and Materials,Analytical Chemistry Services,Residual Impurity Analysis,7
Chemistry and Materials,Analytical Chemistry Services,Residual Solvent Analysis,59
Chemistry and Materials,Analytical Chemistry Services,Residue On Ignition (ROI) Testing,66
Chemistry and Materials,Analytical Chemistry Services,Sample Recrystallization,12
Chemistry and Materials,Analytical Chemistry Services,Separation/Purification Services,31127
Chemistry and Materials,Analytical Chemistry Services,Soil and Water Nutrient Analysis,7
Chemistry and Materials,Analytical Chemistry Services,Solubility and Dissolution Testing,327
Chemistry and Materials,Analytical Chemistry Services,Structure Determination,23
Chemistry and Materials,Analytical Chemistry Services,Sulfated Ash Test,163
Chemistry and Materials,Analytical Chemistry Services,Total Organic Carbon and Nitrogen Analysis,85
Chemistry and Materials,Analytical Chemistry Services,Trace Evidence Analysis,9
Chemistry and Materials,Analytical Chemistry Services,Trace Gas Analysis,3
Chemistry and Materials,Analytical Chemistry Services,Trace Metal Analysis,525
Chemistry and Materials,Analytical Chemistry Services,Trolox Equivalent Antioxidant Capacity Assay,48
Chemistry and Materials,Analytical Chemistry Services,Unknown Material Identification,902
Chemistry and Materials,Analytical Chemistry Services,Vitamin Content Determination,215
Chemistry and Materials,Analytical Chemistry Services,Voltammetry,160
Chemistry and Materials,Analytical Chemistry Services,Wet Chemical Analysis,228
Chemistry and Materials,Analytical Chemistry Services,pH Measurement,1984
Chemistry and Materials,Analytical Chemistry Services,pKa Measurement,27
Chemistry and Materials,Analytical Chemistry Services,,148
Chemistry and Materials,Chemical Engineering and Processing,Biocatalyst Development,51
Chemistry and Materials,Chemical Engineering and Processing,Catalyst Screening and Development,414
Chemistry and Materials,Chemical Engineering and Processing,Deionisation,11
Chemistry and Materials,Chemical Engineering and Processing,Natural Gas Activation,15
Chemistry and Materials,Chemical Engineering and Processing,Nuclear Probe Microanalysis,15
Chemistry and Materials,Chemical Engineering and Processing,Process Engineering Services,2
Chemistry and Materials,Chemical Engineering and Processing,Process Technologies,6
Chemistry and Materials,Chemical Engineering and Processing,Rapid Chemical Quench,3
Chemistry and Materials,Chemical Engineering and Processing,Reactor Design,542
Chemistry and Materials,Chemical Engineering and Processing,Solvent Screening,787
Chemistry and Materials,Chemical Engineering and Processing,Zeolite Exchange,6
Chemistry and Materials,Chemical Engineering and Processing,Zeolite Impregnation,3
Chemistry and Materials,Chemical Engineering and Processing,,30
Chemistry and Materials,"Chemicals, Ingredients, and Raw Materials",Additives and Fillers,26
Chemistry and Materials,"Chemicals, Ingredients, and Raw Materials",Alginate Products,247
Chemistry and Materials,"Chemicals, Ingredients, and Raw Materials",Bioadhesive Polymers,1720
Chemistry and Materials,"Chemicals, Ingredients, and Raw Materials",Biofuels,19
Chemistry and Materials,"Chemicals, Ingredients, and Raw Materials",Botanical Extracts,527
Chemistry and Materials,"Chemicals, Ingredients, and Raw Materials",Bulk Amino Acids,307
Chemistry and Materials,"Chemicals, Ingredients, and Raw Materials",Bulk Chemicals,208
Chemistry and Materials,"Chemicals, Ingredients, and Raw Materials",Bulk Raw Materials,20
Chemistry and Materials,"Chemicals, Ingredients, and Raw Materials",Chemical Dispersants,231
Chemistry and Materials,"Chemicals, Ingredients, and Raw Materials",Chemical Reagents,511890
Chemistry and Materials,"Chemicals, Ingredients, and Raw Materials",Click Ligands,141
Chemistry and Materials,"Chemicals, Ingredients, and Raw Materials",Coatings,224
Chemistry and Materials,"Chemicals, Ingredients, and Raw Materials",Custom Alloys,919
Chemistry and Materials,"Chemicals, Ingredients, and Raw Materials",Detergents,550
Chemistry and Materials,"Chemicals, Ingredients, and Raw Materials",Dielectric Fluids,14
Chemistry and Materials,"Chemicals, Ingredients, and Raw Materials",Elastomers,203
Chemistry and Materials,"Chemicals, Ingredients, and Raw Materials",Excipients,623
Chemistry and Materials,"Chemicals, Ingredients, and Raw Materials",Flavors and Fragrances,75
Chemistry and Materials,"Chemicals, Ingredients, and Raw Materials",Functional Polymers,133
Chemistry and Materials,"Chemicals, Ingredients, and Raw Materials",Industrial Abrasives,137
Chemistry and Materials,"Chemicals, Ingredients, and Raw Materials",Industrial Gases,55
Chemistry and Materials,"Chemicals, Ingredients, and Raw Materials",Ingredient Sourcing,8
Chemistry and Materials,"Chemicals, Ingredients, and Raw Materials",Lubricants,127
Chemistry and Materials,"Chemicals, Ingredients, and Raw Materials",Medical Gases,39
Chemistry and Materials,"Chemicals, Ingredients, and Raw Materials",Microsilver Formulations,820
Chemistry and Materials,"Chemicals, Ingredients, and Raw Materials",Performance Polymers,495
Chemistry and Materials,"Chemicals, Ingredients, and Raw Materials",Personal Care and Cosmetic Ingredients,606
Chemistry and Materials,"Chemicals, Ingredients, and Raw Materials",Petrochemicals,70
Chemistry and Materials,"Chemicals, Ingredients, and Raw Materials",Pigments and Dyes,145
Chemistry and Materials,"Chemicals, Ingredients, and Raw Materials",Polymers and Composites,143
Chemistry and Materials,"Chemicals, Ingredients, and Raw Materials",Preservatives,67
Chemistry and Materials,"Chemicals, Ingredients, and Raw Materials",Raw Material Sourcing,22
Chemistry and Materials,"Chemicals, Ingredients, and Raw Materials",Rheology Modifiers,2
Chemistry and Materials,"Chemicals, Ingredients, and Raw Materials",Sealants,356
Chemistry and Materials,"Chemicals, Ingredients, and Raw Materials",Specialty Gases,179
Chemistry and Materials,"Chemicals, Ingredients, and Raw Materials",Specialty Metals,399
Chemistry and Materials,"Chemicals, Ingredients, and Raw Materials",Surfactants and Emulsifiers,139
Chemistry and Materials,"Chemicals, Ingredients, and Raw Materials",Sustainable Ingredients,81
Chemistry and Materials,"Chemicals, Ingredients, and Raw Materials",Synthetic Building Blocks and Intermediates,256157
Chemistry and Materials,"Chemicals, Ingredients, and Raw Materials",,2367
Chemistry and Materials,Compound Sourcing and Management,Commercial/Comparator Drug Sourcing,86
Chemistry and Materials,Compound Sourcing and Management,Compound Sourcing,1
Chemistry and Materials,Compound Sourcing and Management,Retain Sample Management,8
Chemistry and Materials,Compound Sourcing and Management,,1
Chemistry and Materials,Materials Science,Adhesive Development,165
Chemistry and Materials,Materials Science,Biomaterial Fabrication,19
Chemistry and Materials,Materials Science,Biopolymer Synthesis,144
Chemistry and Materials,Materials Science,Carbon Nanotube Synthesis,81
Chemistry and Materials,Materials Science,Ceramic Components,259
Chemistry and Materials,Materials Science,Chemo-Mechanical Synthesis,82
Chemistry and Materials,Materials Science,Custom Nanomaterial Development,14
Chemistry and Materials,Materials Science,Functional Materials Synthesis,40
Chemistry and Materials,Materials Science,Material Development,40
Chemistry and Materials,Materials Science,Metal/Metal Oxide Nanoparticle Synthesis,193
Chemistry and Materials,Materials Science,Microsphere Synthesis,76
Chemistry and Materials,Materials Science,Nanocomposite Synthesis,120
Chemistry and Materials,Materials Science,Nanoparticle Functionalization,281
Chemistry and Materials,Materials Science,Nanoparticle Synthesis,63
Chemistry and Materials,Materials Science,Nanoporous Microspheres,95
Chemistry and Materials,Materials Science,Nanotubes and Nanowires,21
Chemistry and Materials,Materials Science,Polymer Consulting,4
Chemistry and Materials,Materials Science,Polymer Process Development and Scale-Up,7
Chemistry and Materials,Materials Science,Polymer Synthesis,763
Chemistry and Materials,Materials Science,Pressure-Sensitive Adhesive Technologies,1148
Chemistry and Materials,Materials Science,Rubber Formulation Development,448
Chemistry and Materials,Materials Science,Smart Material Development,1
Chemistry and Materials,Materials Science,Solid-State Chemistry,123
Chemistry and Materials,Materials Science,Solid-State Post-Condensation (SSP) Polymerization,67
Chemistry and Materials,Materials Science,Textile Science,724
Chemistry and Materials,Materials Science,,8
Chemistry and Materials,Physical Analysis Methods,Calorimetry,363
